"","Height","Tree","Shrub","WoodyLiana","ParasiticEpiphyte","DwarfShrub","MonocarpPerennialHerb","PolycarpNonClonalHerb","ClonalHerb","AnnualHerb","ChamPh","GeoPh","HemiPh","HydroPh","MphanPh","NphanPh","TherPh","LfArVertic","LfArAltern","LfArRosette","LfArOppos","LfTSimple","LfTReduced","LfTComp","LfGrSpring","LfGrSummer","LfGrWinter","LfGrPersist","LfScler","LfSuccul","LA","SLA","LDMC","FloweringLength","Dioecy","OutCross","AutoGam","ZooGam","AnemoGam","HydroGam","FleshyFr","VegetRepr","MyrmChor","SeedMass","Sh_polycyclic_Woody_incl","BdBank_size","BdBank_depth","Parasit","MHtroph","Cvory","Nfix","Gnm_size","Gnm_GC","Clon_persist","Clon_multip","LateralSpr","ClonInd","ClonDispOrg","DiasporeVeg","DiasporeGen","DispAllium","DispBidens","DispCornus","DispEpilobium","DispalLycopodium","DispPhragmites","DispSparganium","DispWolffia","DispZea"
"Achillea_ptarmica",0.346578900188903,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-0.76403318271504,-0.0800299849742371,-1.21209744057132,-0.902176543489947,0.0466991534854152,0.943011453288911,1.88235065294483,1.16450883770091,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,0.912422182483491,2.00177672963684,-0.736247025806533,-0.963537372934444,0.381938691695666,0.0868898250734766,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,0.868898371068976,-0.634217999213659,1.58193858196129,2.61571302386908,1.43652324526799,1.6093349557038,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Achillea_setacea",-0.284500662053235,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.973156861705521,-0.0800299849742371,0,0,0,0.07889887659623,1.88235065294483,0,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,0.912422182483491,2.00177672963684,-1.0231904258937,1.40709211259973,0.381938691695666,0.0868898250734766,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,0.65626346459856,-0.473282943834761,1.58193858196129,2.61571302386908,1.43652324526799,1.6093349557038,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Achillea_styriaca",0.415619974847137,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0269541778975741,0.580592991913747,0.0900269541778976,0.302425876010782,0,-0.0800299849742371,0,0,0,-0.785213700096451,0,0,0,0,0,0,-0.26861629036035,0,2.00177672963684,0,0,0,0,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,0,0,0,0,0,0,0,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Acinos_arvensis",-0.580564621562639,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,1,1.52174319152254,-0.0800299849742371,-0.704660698451732,-0.599568525681881,0.423361002417452,0.07889887659623,1.88235065294483,0.524669415947059,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,-1.17100613052366,2.00177672963684,-0.269460248031586,-0.963537372934444,-0.711699020294688,-0.360965412263674,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,-0.970411246783925,0.0644756558459555,-0.963999071580031,-0.74219943182486,-0.649568744720956,-1.00190218051859,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Aconitum_anthora",0.317465473421847,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0269541778975741,0.580592991913747,0.0900269541778976,0.302425876010782,0,-0.0800299849742371,0,0,0,-0.785213700096451,0,0.524669415947059,0,0,0,0,-0.26861629036035,0,-0.506655847922114,0,-0.963537372934444,-0.711699020294688,-0.360965412263674,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,1.27087104760501,0.374570030844323,-0.327514658194701,-0.182547355875871,-0.489100130106421,0.564840101214843,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Aconitum_firmum",0.836842331183729,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,1,0,0,1,0,0,0.0269541778975741,0.580592991913747,0.0900269541778976,0.302425876010782,0,-0.0800299849742371,0,0,0,-0.785213700096451,0,0.524669415947059,0,0,0,0,-0.26861629036035,0,-0.506655847922114,0,0,0,0,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,1.34628122829585,0.825973234955871,0,0,0,0,0,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Aconitum_lycoctonum",0.596534498537569,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-0.169731325413269,-0.0800299849742371,1.83607246116765,-0.254760070016227,-1.18361694858676,-0.785213700096451,-0.454572899827647,0.524669415947059,1.06825340961718,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,0.912422182483491,-0.506655847922114,0.712088632475481,1.40709211259973,-0.164880164299511,-0.0609024032477833,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,1.83583475889605,0.912328630525037,-0.963999071580031,-0.74219943182486,-0.649568744720956,-1.00190218051859,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Aconitum_plicatum",0.649802937450448,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.37885500440375,-0.0800299849742371,0,0,0,0.07889887659623,-0.454572899827647,0.524669415947059,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,-1.17100613052366,-0.506655847922114,0,-0.963537372934444,-0.711699020294688,-0.360965412263674,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,2.04191861777205,0.982983045081627,-0.327514658194701,-0.182547355875871,-0.489100130106421,0.564840101214843,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Aconitum_variegatum",0.917954162380943,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-0.169731325413269,-0.0800299849742371,0,0,0,0.07889887659623,-0.454572899827647,0.524669415947059,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,-1.17100613052366,-0.506655847922114,0,-0.963537372934444,-0.711699020294688,-0.360965412263674,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,1.34918454970836,0.759244065652425,-0.327514658194701,0.936756796022108,0.313242942966252,0.564840101214843,5.77780374114161,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Acorus_calamus",0.596534498537569,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-1.90692136983383,-0.0800299849742371,1.7466608664341,0.0509357847082487,0.615238966716463,-0.785213700096451,-0.454572899827647,0,0,0,0,0,3.84355658421655,2.99585049549064,-0.506655847922114,0.264389499929035,-0.963537372934444,0.381938691695666,0.0868898250734766,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,-0.965003370563643,-0.473282943834761,0.945454168575957,1.07666981500936,1.43652324526799,1.6093349557038,-0.216230409684991,0,0,0,0,0,0,0,0,0,0,1
