"","X","Height","Tree","Shrub","WoodyLiana","ParasiticEpiphyte","DwarfShrub","MonocarpPerennialHerb","PolycarpNonClonalHerb","ClonalHerb","AnnualHerb","ChamPh","GeoPh","HemiPh","HydroPh","MphanPh","NphanPh","TherPh","LfArVertic","LfArAltern","LfArRosette","LfArOppos","LfTSimple","LfTReduced","LfTComp","LfGrSpring","LfGrSummer","LfGrWinter","LfGrPersist","LfScler","LfSuccul","LA","SLA","LDMC","FloweringLength","Dioecy","OutCross","AutoGam","ZooGam","AnemoGam","HydroGam","FleshyFr","VegetRepr","MyrmChor","SeedMass","Sh_polycyclic_Woody_incl","BdBank_size","BdBank_depth","Parasit","MHtroph","Cvory","Nfix","Gnm_size","Gnm_GC","Clon_persist","Clon_multip","LateralSpr","ClonInd","ClonDispOrg","DiasporeVeg","DiasporeGen","DispAllium","DispBidens","DispCornus","DispEpilobium","DispalLycopodium","DispPhragmites","DispSparganium","DispWolffia","DispZea"
"23","Actaea_europaea",0.33718626735487,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,0,0,0,0,9.86768212066467,39.44,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0
"24","Actaea_spicata",-0.691149177897272,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.5,0,9.99612370577056,37.33,248.33,3,0,0.5,1,1,0,0,1,0.5,1,4.78715835388081,0,16,4.25,0,0,0,0,9.85064410992098,40.17,4,2,0.03,3,0,0,1,0,0,1,0,0,0,0,0,0
"25","Adenophora_liliifolia",-0.429245636773568,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.75,0,7.14168049866102,36,NA,2,0,0.75,1,1,0,0,0,0,0,-1.20397280432594,0,20,4,0,0,0,0,8.97757694770158,43.28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"26","Adenostyles_alliariae",0.049742091894814,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.63,0,11.2221787011456,26.71,117.22,2,0,0.75,1,1,0,0,0,0.5,0,NA,1,20,4,0,0,0,0,9.66924071221787,39.68,4,0.75,0.07,4,0,0,1,0,0,0,1,0,0,0,0,0
"27","Adonis_aestivalis",-0.913793851675568,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.75,0,5.26527751246984,42.07,120.2,3,0,0.5,1,1,0,0,0,0,1,2.44495233428097,0,5,1,0,0,0,0,10.3366239220832,43.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"28","Adonis_vernalis",-1.38230233985035,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.75,0,5.63121178182137,15.31,357.84,2,0,0.75,1,1,0,0,0,0.5,1,2.36179695262589,0,20,4,0,0,0,0,9.91818353564059,41.34,3.33,1,0.01,3,0,0,1,1,0,0,0,0,0,0,0,0
"29","Adoxa_moschatellina",-2.03255795578099,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.5,0,7.55153888100205,38.45,136.67,3,0,0.75,1,1,0,0,1,0.75,NA,-0.446287102628419,0,10,3,0,0,0,0,10.1291000534843,37.05,1.6,4,0.13,5,0,0,1,1,0,0,0,0,0,0,0,0
"30","Aegopodium_podagraria",-0.286349627218002,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.63,0,9.51046274204628,28.8,230,4,0.5,0.75,0,1,0,0,0,0.75,0,0.524728528934982,1,20,4,0,0,0,0,8.66307722505463,37.52,4,1.89,0.09,3,0,0,1,1,0,0,0,0,0,0,0,0
"31","Aesculus_hippocastanum",2.99578227230403,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0.75,0,8.78396312128733,13.7,251.5,1,0.5,0.75,0,1,0,0,0,0,0,8.95009965119296,1,0,0,0,0,0,0,6.91892269067403,38.18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"32","Aethusa_cynapium",-0.543004522130226,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.75,0,8.07332815322019,32.73,193.55,3,0,0.5,1,1,0,0,0,0,0,0.53062825106217,0,5,1,0,0,0,0,7.8325537174689,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
