	Height	Tree	Shrub	WoodyLiana	ParasiticEpiphyte	DwarfShrub	MonocarpPerennialHerb	PolycarpNonClonalHerb	ClonalHerb	AnnualHerb	ChamPh	GeoPh	HemiPh	HydroPh	MphanPh	NphanPh	TherPh	LfArVertic	LfArAltern	LfArRosette	LfArOppos	LfTSimple	LfTReduced	LfTComp	LfGrSpring	LfGrSummer	LfGrWinter	LfGrPersist	LfScler	LfSuccul	LA	SLA	LDMC	FloweringLength	Dioecy	OutCross	AutoGam	ZooGam	AnemoGam	HydroGam	FleshyFr	VegetRepr	MyrmChor	SeedMass	SeedNo	Sh_polycyclic_Woody_incl	BdBank_size	BdBank_depth	Parasit	MHtroph	Cvory	Nfix	Gnm_size	Gnm_GC	Clon_persist	Clon_multip	LateralSpr	ClonInd	ClonDispOrg	DiasporeVeg	DiasporeGen	DispAllium	DispBidens	DispCornus	DispEpilobium	DispalLycopodium	DispPhragmites	DispSparganium	DispWolffia	DispZea
Ligusticum_mutellina	0.3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0.75	0	2646.2	22.85	158.78	3	0.5	0.75	0	1	0	0	0	0.5	0	NA	NA	1	38.75	8.35	0	0	0	0	1411.44	37.59	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Ligustrum_vulgare	3.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0.88	0	626.9	11.15	273	1	0	0.5	1	1	0	0	1	0	0	35.44	21.84	1	10	10	0	0	0	0	2727.77	36.7	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Lilium_bulbiferum	0.8	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	461	18.43	140.52	2	0	1	0	1	0	0	0	0.5	0	7.4	NA	0	15	5	0	0	0	0	70488.64	37.02	2.25	7.5	0.01	4	1	1	1	1	0	0	0	0	0	0	0	0
Lilium_martagon	0.95	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0.75	0	4471	25.58	136	2	0	1	1	1	0	0	0	0	0	5.94	4825.8	0	15	5	0	0	0	0	76415.82	38.67	3.33	3	0.01	3	0	0	1	1	0	0	0	0	0	0	0	0
Limodorum_abortivum	0.53	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	0.75	0	NA	NA	NA	2	0	0.5	1	1	0	0	0	0.5	0	NA	NA	0	30	7.67	0	1	0	0	10751.29	43.82	4	1	0.05	4	0	0	1	0	0	0	0	1	0	0	0	0
Limosella_aquatica	0.06	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0.25	0	18	27.3	135	4	0	0.25	1	0	0	0	0	0.5	0	0.02	2216	0	15	1	0	0	0	0	1241.62	40.77	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Linaria_genistifolia	0.65	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	NA	NA	NA	3	0	1	0	1	0	0	0	0.5	0	0.14	742675.75	0	36.5	8.56	0	0	0	0	1523.95	39.85	4	3.5	0.1	5	0	0	1	1	0	0	0	0	0	0	0	0
Linaria_repens	0.6	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	NA	0	200.5	24.96	149.14	2	0	0.75	0	1	0	0	0	0.5	0	0.21	2679	0	32.5	9	0	0	0	0	NA	NA	4	2	0.15	3	0	0	1	1	0	0	0	0	0	0	0	0
Linaria_vulgaris	0.35	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.75	0	105.39	19.98	189.25	3	0	1	0	1	0	0	0	0.5	0	0.17	57054.67	0	34.55	8.76	0	0	0	0	1548.06	39.62	3.75	2.43	0.21	4	0	0	1	1	0	0	0	0	0	0	0	0
Lindernia_procumbens	0.06	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0.25	0	NA	NA	NA	3	0	0.25	1	0	0	0	0	0	0	0.01	NA	0	0	0	0	0	0	0	885.88	38.12	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
