Species_list
Vincetoxicum hirundinar.
Campanula persicifolia
Fragaria viridis
Phleum phleoides
Potentilla incana
Festuca rupicola
Sesleria caerulea
Primula veris
Potentilla incana
Veronica vindobonensis
Achillea pannonica
Allium flavum
Centaurea triumfetti
Erysimum odoratum
Euphorbia cyparissias
Festuca rupicola
Hypericum perforatum
Melica ciliata
Ornithogalum kochii
Phleum phleoides
Plantago media
Thesium linophyllon
Thymus praecox
Vincetoxicum hirundiar.
Fragaria viridis
Dianthus pontederae
Avenula pubescens
Festuca valesiaca
Seseli osseum
Koeleria macrantha
Minuartia setacea
Medicago minima
Thymus pannonicus agg.
Cytisus procumbens
Dictamnus albus
Festuca rupicola
Potentilla incana
Salvia pratensis
Fragaria viridis
Galatella linosyris
Koeleria macrantha
Muscari sp.
Allium flavum
Arenaria serpyllifolia
Festuca valesiaca
Galium glaucum
Poa angustifolia
Stipa pulcherrima
Veronica spicata
Carex humilis
Iris pumila
Thymus pannonicus agg.
Adonis vernalis
Fragaria viridis
Carex humilis
Cytisus procumbens
Elymus hispidus
Galatella linosyris
Koeleria macrantha
Muscari sp.
Peucedanum cervaria
Salvia pratensis
Allium sp.
Arenaria serpyllifolia
Dictamnus albus
Eryngium campestre
Festuca rupicola
Galium glaucum
Poa angustifolia
Veronica spicata
Dianthus pontederae
Stipa sp.
Teucrium chamaedrys
Carex humilis
Dictamnus albus
Eryngium campestre
Fragaria viridis
Elymus hispidus
Iris pumila
Koeleria macrantha
Muscari sp.
Potentilla incana
Stipa pulcherrima
Arenaria serpyllifolia
Filipendula vulgaris
Galatella linosyris
Inula germanica
Microthlaspi perfoliatum
Veronica spicata
Allium flavum
Stipa pennata
Festuca rupicola
Salvia pratensis
Thymus pannonicus agg.
Cytisus procumbens
Dictamnus albus
Carex humilis
Eryngium campestre
Salvia pratensis
Veronica spicata
Anthericum ramosum
Festuca rupicola
Galatella linosyris
Peucedanum cervaria
Potentilla incana
Stipa pulcherrima
Arenaria serpyllifolia
Cerastium pumilum
Dianthus pontederae
Elymus hispidus
Fragaria viridis
Medicago falcata
Microthlaspi perfoliatum
Muscari sp.
Poa angustifolia
Teucrium chamaedrys
Thalictrum minus
Thymus pannonicus agg.
Allium sphaerocephalon
Dictamnus albus
Eryngium campestre
Carex humilis
Teucrium chamaedrys
Arenaria serpyllifolia
Cytisus procumbens
Elymus hispidus
Fragaria viridis
Galatella linosyris
Koeleria macrantha
Galium glaucum
Chamaecytisus ratisbon.
Inula oculus-christi
Medicago falcata
